epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net
0,8,-0.51,0 days 00:00:04.082688,0.009809019,9,1,0.4,9,0 days 00:00:17.970989,True,True
1,7,-0.61,0 days 00:00:02.098747,0.03171833,17,1,0.4,17,0 days 00:00:23.738381,True,True
2,6,-0.71,0 days 00:00:02.614427,0.019757599,24,1,0.4,24,0 days 00:00:30.004575,True,True
3,11,-0.21000000000000008,0 days 00:00:02.864895,0.013276838,36,1,0.4,36,0 days 00:00:36.521456,True,True
4,6,-0.71,0 days 00:00:03.184239,0.02419822,43,1,0.4,43,0 days 00:00:43.356343,True,True
5,6,-0.71,0 days 00:00:02.616779,0.031422835,50,1,0.4,50,0 days 00:00:49.622233,True,True
6,7,-0.61,0 days 00:00:03.232605,0.03237169,58,1,0.4,58,0 days 00:00:56.505869,True,True
7,7,-0.61,0 days 00:00:03.799406,0.025436161,66,1,0.4,66,0 days 00:01:03.956564,True,True
8,6,-0.71,0 days 00:00:03.183002,0.027467262,73,1,0.4,73,0 days 00:01:10.790135,True,True
9,9,-0.41000000000000003,0 days 00:00:02.198849,0.013381034,83,1,0.4,83,0 days 00:01:16.640023,True,True
10,6,-0.71,0 days 00:00:02.615228,0.045544084,90,1,0.4,90,0 days 00:01:22.906643,True,True
11,7,-0.61,0 days 00:00:03.232111,0.036423456,98,1,0.4,98,0 days 00:01:29.790303,True,True
12,6,-0.71,0 days 00:00:02.050487,0.0013474516,105,1,0.4,105,0 days 00:01:35.491137,True,True
13,8,-0.51,0 days 00:00:02.149515,0.021588761,114,1,0.4,114,0 days 00:01:41.291184,True,True
14,6,-0.71,0 days 00:00:02.048691,0.014069812,121,1,0.4,121,0 days 00:01:46.991718,True,True
15,45,3.1900000000000013,0 days 00:00:11.934800,0.017173957,167,1,0.4,167,0 days 00:02:02.577231,True,True
16,7,-0.61,0 days 00:00:02.099422,0.019205954,175,1,0.4,175,0 days 00:02:08.325164,True,True
17,8,-0.51,0 days 00:00:03.849306,0.015155339,184,1,0.4,184,0 days 00:02:15.825784,True,True
18,6,-0.71,0 days 00:00:02.049795,0.013958021,191,1,0.4,191,0 days 00:02:21.526866,True,True
19,6,-0.71,0 days 00:00:02.048692,0.039327316,198,1,0.4,198,0 days 00:02:27.226404,True,True
20,6,-0.71,0 days 00:00:02.049886,0.005826241,205,1,0.4,205,0 days 00:02:32.926452,True,True
21,6,-0.71,0 days 00:00:02.049796,0.025640722,212,1,0.4,212,0 days 00:02:38.627301,True,True
22,6,-0.71,0 days 00:00:02.048344,0.015838504,219,1,0.4,219,0 days 00:02:44.326655,True,True
23,5,-0.8099999999999999,0 days 00:00:02.066042,0.009708479,225,1,0.4,225,0 days 00:02:50.044366,True,True
24,8,-0.51,0 days 00:00:02.148658,0.0034763117,234,1,0.4,234,0 days 00:02:55.845061,True,True
25,7,-0.61,0 days 00:00:02.098074,0.019452104,242,1,0.4,242,0 days 00:03:01.594336,True,True
26,6,-0.71,0 days 00:00:02.614826,0.044704318,249,1,0.4,249,0 days 00:03:07.861055,True,True
27,6,-0.71,0 days 00:00:02.050324,0.023034504,256,1,0.4,256,0 days 00:03:13.561827,True,True
28,16,0.29000000000000004,0 days 00:00:05.949971,0.025641007,273,1,0.4,273,0 days 00:03:23.162351,True,True
29,9,-0.41000000000000003,0 days 00:00:03.900586,0.016754214,283,1,0.4,283,0 days 00:03:30.712481,True,True
30,10,-0.31000000000000005,0 days 00:00:02.248614,0.027540935,294,1,0.4,294,0 days 00:03:36.612679,True,True
31,5,-0.8099999999999999,0 days 00:00:03.131317,0.024708942,300,1,0.4,300,0 days 00:03:43.395435,True,True
32,9,-0.41000000000000003,0 days 00:00:02.199855,0.03476878,310,1,0.4,310,0 days 00:03:49.246558,True,True
33,6,-0.71,0 days 00:00:02.049378,-0.006668113,317,1,0.4,317,0 days 00:03:54.946406,True,True
34,18,0.4900000000000002,0 days 00:00:03.215917,0.03715362,336,1,0.4,336,0 days 00:04:01.814148,True,True
35,6,-0.71,0 days 00:00:02.048667,0.025944175,343,1,0.4,343,0 days 00:04:07.513580,True,True
36,8,-0.51,0 days 00:00:02.148190,0.023560382,352,1,0.4,352,0 days 00:04:13.313449,True,True
37,6,-0.71,0 days 00:00:02.049260,0.0012576561,359,1,0.4,359,0 days 00:04:19.014330,True,True
38,11,-0.21000000000000008,0 days 00:00:03.999444,0.015126244,371,1,0.4,371,0 days 00:04:26.664392,True,True
39,28,1.490000000000001,0 days 00:00:05.416274,0.0126310205,400,1,0.4,400,0 days 00:04:35.732585,True,True
40,6,-0.71,0 days 00:00:02.615491,0.0130079435,407,1,0.4,407,0 days 00:04:41.998044,True,True
41,8,-0.51,0 days 00:00:02.149208,0.014254277,416,1,0.4,416,0 days 00:04:47.799026,True,True
42,9,-0.41000000000000003,0 days 00:00:03.898672,0.026588026,426,1,0.4,426,0 days 00:04:55.348267,True,True
43,6,-0.71,0 days 00:00:02.616039,0.0118126655,433,1,0.4,433,0 days 00:05:01.616101,True,True
44,13,-0.01000000000000012,0 days 00:00:05.798657,0.031804375,447,1,0.4,447,0 days 00:05:11.065850,True,True
45,6,-0.71,0 days 00:00:02.048601,0.0039883093,454,1,0.4,454,0 days 00:05:16.766435,True,True
46,6,-0.71,0 days 00:00:02.048782,0.023601497,461,1,0.4,461,0 days 00:05:22.467290,True,True
47,6,-0.71,0 days 00:00:02.049976,0.0451595,468,1,0.4,468,0 days 00:05:28.167531,True,True
48,6,-0.71,0 days 00:00:02.049290,-0.0024801877,475,1,0.4,475,0 days 00:05:33.867152,True,True
49,9,-0.41000000000000003,0 days 00:00:02.198298,0.0040939148,485,1,0.4,485,0 days 00:05:39.717091,True,True
50,6,-0.71,0 days 00:00:02.049722,0.023028612,492,1,0.4,492,0 days 00:05:45.417760,True,True
51,6,-0.71,0 days 00:00:02.616790,0.058514096,499,1,0.4,499,0 days 00:05:51.684657,True,True
52,6,-0.71,0 days 00:00:02.050977,0.006479087,506,1,0.4,506,0 days 00:05:57.385948,True,True
53,10,-0.31000000000000005,0 days 00:00:03.948922,0.033093438,517,1,0.4,517,0 days 00:06:04.985603,True,True
54,17,0.3900000000000001,0 days 00:00:06.565951,0.017121263,535,1,0.4,535,0 days 00:06:15.202127,True,True
55,6,-0.71,0 days 00:00:02.048872,0.03524483,542,1,0.4,542,0 days 00:06:20.902477,True,True
56,6,-0.71,0 days 00:00:02.615427,0.02720805,549,1,0.4,549,0 days 00:06:27.168893,True,True
57,6,-0.71,0 days 00:00:02.049867,0.042079967,556,1,0.4,556,0 days 00:06:32.869889,True,True
58,8,-0.51,0 days 00:00:03.283524,0.0015319685,565,1,0.4,565,0 days 00:06:39.804205,True,True
59,18,0.4900000000000002,0 days 00:00:04.350065,0.0046349163,584,1,0.4,584,0 days 00:06:47.804102,True,True
60,8,-0.51,0 days 00:00:03.849602,-0.014243934,593,1,0.4,593,0 days 00:06:55.304208,True,True
61,6,-0.71,0 days 00:00:02.050072,0.0362826,600,1,0.4,600,0 days 00:07:01.004233,True,True
62,6,-0.71,0 days 00:00:02.048632,0.021121528,607,1,0.4,607,0 days 00:07:06.704305,True,True
63,6,-0.71,0 days 00:00:02.049112,-0.008612827,614,1,0.4,614,0 days 00:07:12.404991,True,True
64,7,-0.61,0 days 00:00:02.099191,0.011940957,622,1,0.4,622,0 days 00:07:18.154888,True,True
65,9,-0.41000000000000003,0 days 00:00:04.466073,0.013167113,632,1,0.4,632,0 days 00:07:26.271665,True,True
66,9,-0.41000000000000003,0 days 00:00:03.899513,0.017217923,642,1,0.4,642,0 days 00:07:33.822341,True,True
67,12,-0.1100000000000001,0 days 00:00:04.615798,0.018370084,655,1,0.4,655,0 days 00:07:42.088988,True,True
68,5,-0.8099999999999999,0 days 00:00:03.133502,0.012098976,661,1,0.4,661,0 days 00:07:48.873015,True,True
69,7,-0.61,0 days 00:00:03.231412,0.022476388,669,1,0.4,669,0 days 00:07:55.755826,True,True
70,10,-0.31000000000000005,0 days 00:00:02.815274,0.034503207,680,1,0.4,680,0 days 00:08:02.222865,True,True
71,6,-0.71,0 days 00:00:02.616168,0.023124965,687,1,0.4,687,0 days 00:08:08.490278,True,True
72,17,0.3900000000000001,0 days 00:00:05.433702,0.012868213,705,1,0.4,705,0 days 00:08:17.574239,True,True
73,7,-0.61,0 days 00:00:02.099660,0.01218733,713,1,0.4,713,0 days 00:08:23.324380,True,True
74,6,-0.71,0 days 00:00:03.182009,0.032071613,720,1,0.4,720,0 days 00:08:30.157599,True,True
75,8,-0.51,0 days 00:00:03.899257,0.040414527,729,1,0.4,729,0 days 00:08:37.708112,True,True
76,6,-0.71,0 days 00:00:02.050194,0.013609224,736,1,0.4,736,0 days 00:08:43.408001,True,True
77,6,-0.71,0 days 00:00:02.048991,0.016443709,743,1,0.4,743,0 days 00:08:49.108255,True,True
78,6,-0.71,0 days 00:00:03.181763,0.03533154,750,1,0.4,750,0 days 00:08:55.941383,True,True
79,6,-0.71,0 days 00:00:02.048931,0.012248023,757,1,0.4,757,0 days 00:09:01.642219,True,True
80,5,-0.8099999999999999,0 days 00:00:03.165190,-0.002828425,763,1,0.4,763,0 days 00:09:08.459112,True,True
81,7,-0.61,0 days 00:00:02.099248,0.027847784,771,1,0.4,771,0 days 00:09:14.209393,True,True
82,6,-0.71,0 days 00:00:02.049082,0.009175122,778,1,0.4,778,0 days 00:09:19.909612,True,True
