epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net,pretraining_steps
0,27,1.390000000000001,0 days 00:00:04.900408,-0.013049649,28,1,0.4,28,0 days 00:00:18.095474,True,True,10000
1,9,-0.41000000000000003,0 days 00:00:02.099697,-0.0008749943,38,1,0.4,38,0 days 00:00:23.827733,True,True,10000
2,19,0.5900000000000003,0 days 00:00:02.067287,-0.016083762,58,1,0.4,58,0 days 00:00:29.512616,True,True,10000
3,8,-0.51,0 days 00:00:02.049646,-0.016080454,67,1,0.4,67,0 days 00:00:35.178355,True,True,10000
4,11,-0.21000000000000008,0 days 00:00:02.198679,-0.0069647967,79,1,0.4,79,0 days 00:00:40.995698,True,True,10000
5,10,-0.31000000000000005,0 days 00:00:02.149608,-0.0131062595,90,1,0.4,90,0 days 00:00:46.762174,True,True,10000
6,12,-0.1100000000000001,0 days 00:00:03.316615,-0.020929873,103,1,0.4,103,0 days 00:00:53.696374,True,True,10000
7,20,0.6900000000000004,0 days 00:00:02.116175,0.0057160095,124,1,0.4,124,0 days 00:00:59.429737,True,True,10000
8,11,-0.21000000000000008,0 days 00:00:02.198600,-0.019213114,136,1,0.4,136,0 days 00:01:05.246249,True,True,10000
9,49,3.59,0 days 00:00:06.234911,-0.004148318,186,1,0.4,186,0 days 00:01:15.098692,True,True,10000
10,30,1.6900000000000013,0 days 00:00:02.083405,-0.012380854,217,1,0.4,217,0 days 00:01:20.814564,True,True,10000
11,28,1.490000000000001,0 days 00:00:03.582875,-0.012095985,246,1,0.4,246,0 days 00:01:28.014651,True,True,10000
12,29,1.5900000000000012,0 days 00:00:03.099785,-0.0071463045,276,1,0.4,276,0 days 00:01:34.731508,True,True,10000
13,19,0.5900000000000003,0 days 00:00:02.065546,-0.0020904527,296,1,0.4,296,0 days 00:01:40.414292,True,True,10000
14,11,-0.21000000000000008,0 days 00:00:02.199470,-0.0071683223,308,1,0.4,308,0 days 00:01:46.230621,True,True,10000
