epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net,pretraining_steps,tau
0,153,13.999999999999963,0 days 00:00:41.176425,,154,0.0009651615228750887,0.9999900063333339,150000,0 days 00:02:22.929893,True,False,0,0.01
1,617,60.4000000000006,0 days 00:02:18.772540,14.842684,772,0.0008371436744351218,0.9999900320000027,150000,0 days 00:04:45.340827,True,False,0,0.01
2,607,59.40000000000059,0 days 00:02:11.988910,,1380,0.0007277798045367698,0.9999900570000048,150000,0 days 00:07:00.946741,True,False,0,0.01
3,10,-0.30000000000000004,0 days 00:00:02.490899,,1391,0.0007259387846069694,0.9999900573333381,150000,0 days 00:07:07.070525,True,False,0,0.01
4,48,3.5,0 days 00:00:11.530531,14.953781,1440,0.000717794291271306,0.9999900593333383,150000,0 days 00:07:22.227761,True,False,0,0.01
5,830,81.69999999999958,0 days 00:03:00.534285,,2271,0.0005927888141955049,0.9999900936666745,150000,0 days 00:10:26.381684,True,False,0,0.01
6,765,75.19999999999995,0 days 00:02:59.209958,,3037,0.0004969354737802263,0.9999901253333437,150000,0 days 00:13:29.216249,True,False,0,0.01
7,602,58.90000000000058,0 days 00:02:11.223735,14.598325,3640,0.00043251383103492467,0.9999901503333458,150000,0 days 00:15:44.068698,True,False,0,0.01
8,496,48.30000000000043,0 days 00:01:48.882289,,4137,0.00038574472867239053,0.9999901710000142,150000,0 days 00:17:36.567280,True,False,0,0.01
9,683,67.00000000000041,0 days 00:02:25.528971,14.576586,4821,0.0003295338254735109,0.9999901993333499,150000,0 days 00:20:05.718772,True,False,0,0.01
10,591,57.800000000000566,0 days 00:02:14.887618,14.569117,5413,0.0002875411464673173,0.9999902236666852,150000,0 days 00:22:24.233890,True,False,0,0.01
11,578,56.50000000000055,0 days 00:02:09.441294,14.659834,5992,0.0002516517761613837,0.9999902476666872,150000,0 days 00:24:37.292068,True,False,0,0.01
12,515,50.20000000000046,0 days 00:01:47.182033,14.706541,6508,0.00022346010577304422,0.9999902690000223,150000,0 days 00:26:28.106468,True,False,0,0.01
13,735,72.20000000000012,0 days 00:02:42.882895,14.593696,7244,0.00018862532453503295,0.9999902993333581,150000,0 days 00:29:14.610428,True,False,0,0.01
14,518,50.50000000000046,0 days 00:01:55.878609,14.435696,7763,0.00016737862660012943,0.9999903206666932,150000,0 days 00:31:14.113109,True,False,0,0.01
15,41,2.800000000000002,0 days 00:00:08.150599,14.600954,7805,0.0001657677336848185,0.99999032233336,150000,0 days 00:31:25.890459,True,False,0,0.01
16,897,88.3999999999992,0 days 00:03:14.806940,14.664968,8703,0.00013480313738124618,0.9999903596666965,150000,0 days 00:34:44.313580,True,False,0,0.01
17,261,24.800000000000097,0 days 00:00:55.348777,,8965,0.00012691121444445813,0.999990370333364,150000,0 days 00:35:43.279838,True,False,0,0.01
18,498,48.50000000000043,0 days 00:01:44.388550,14.607502,9464,0.00011313578641189888,0.9999903910000324,150000,0 days 00:37:31.289856,True,False,0,0.01
19,1366,135.29999999999654,0 days 00:05:10.483834,,10831,9.999999999994632e-05,0.9999904476667038,150000,0 days 00:42:45.404561,True,False,0,0.01
20,95,8.199999999999983,0 days 00:00:19.278960,14.824417,10927,9.999999999994632e-05,0.9999904513333707,150000,0 days 00:43:08.312297,True,False,0,0.01
21,460,44.70000000000038,0 days 00:01:35.527429,14.621392,11388,9.999999999994632e-05,0.9999904703333723,150000,0 days 00:44:47.463061,True,False,0,0.01
22,1127,111.39999999999789,0 days 00:04:17.939961,14.380708,12516,9.999999999994632e-05,0.9999905170000428,150000,0 days 00:49:09.028453,True,False,0,0.01
23,673,66.00000000000047,0 days 00:02:34.852597,14.417581,13190,9.999999999994632e-05,0.9999905450000451,150000,0 days 00:51:47.502257,True,False,0,0.01
24,500,48.700000000000436,0 days 00:01:50.892626,14.865772,13691,9.999999999994632e-05,0.9999905656667135,150000,0 days 00:53:42.015284,True,False,0,0.01
25,670,65.70000000000049,0 days 00:02:34.911970,14.382359,14362,9.999999999994632e-05,0.9999905933333825,150000,0 days 00:56:20.555784,True,False,0,0.01
26,745,73.20000000000006,0 days 00:02:50.188180,14.410683,15108,9.999999999994632e-05,0.999990624333385,150000,0 days 00:59:14.372051,True,False,0,0.01
27,417,40.40000000000032,0 days 00:01:36.131688,14.520706,15526,9.999999999994632e-05,0.9999906416667198,150000,0 days 01:00:54.122337,True,False,0,0.01
28,1115,110.19999999999796,0 days 00:04:33.973214,14.562902,16642,9.999999999994632e-05,0.999990688000057,150000,0 days 01:05:31.718374,True,False,0,0.01
29,692,67.90000000000036,0 days 00:02:35.627742,14.617786,17335,9.999999999994632e-05,0.999990716666726,150000,0 days 01:08:10.968096,True,False,0,0.01
30,89,7.599999999999985,0 days 00:00:23.358714,14.403125,17425,9.999999999994632e-05,0.999990720333393,150000,0 days 01:08:37.955563,True,False,0,0.01
31,417,40.40000000000032,0 days 00:01:35.012331,14.513263,17843,9.999999999994632e-05,0.9999907376667277,150000,0 days 01:10:16.593689,True,False,0,0.01
32,643,63.00000000000064,0 days 00:02:22.057710,,18487,9.999999999994632e-05,0.9999907643333966,150000,0 days 01:12:42.275710,True,False,0,0.01
33,705,69.20000000000029,0 days 00:02:37.125038,14.577754,19193,9.999999999994632e-05,0.9999907936667324,150000,0 days 01:15:23.032684,True,False,0,0.01
34,583,57.000000000000554,0 days 00:02:25.141214,14.530518,19777,9.999999999994632e-05,0.9999908176667344,150000,0 days 01:17:51.805592,True,False,0,0.01
35,801,78.79999999999974,0 days 00:03:26.150905,14.411365,20579,9.999999999994632e-05,0.9999908510000705,150000,0 days 01:21:21.588564,True,False,0,0.01
