epoch,epoch_steps,tot_steps,tot_run_time,epsilon
0,915,916,0 days 00:19:50.743104000,8.999119108700153e-06
1,25,942,0 days 00:20:13.863085000,8.97222177672841e-06
2,6246,7189,0 days 01:40:57.621980000,4.370689956016538e-06
3,933,8123,0 days 01:53:08.913163000,3.925093440603304e-06
4,2778,10902,0 days 02:29:17.184787000,2.8503618718594353e-06
5,2536,13439,0 days 03:02:37.171606000,2.1283840711480314e-06
6,19,13459,0 days 03:02:54.733867000,2.1234889236232954e-06
7,845,14305,0 days 03:13:51.847908000,1.9264156599561444e-06
8,161,14467,0 days 03:16:01.052612000,1.8908191842281988e-06
9,774,15242,0 days 03:26:12.118857000,1.729418100130659e-06
10,261,15504,0 days 03:29:47.340873000,1.678031078289734e-06
11,71,15576,0 days 03:30:47.186214000,1.6641788566153663e-06
12,774,16351,0 days 03:40:57.348605000,1.5221238818031813e-06
13,42,16394,0 days 03:41:32.136777000,1.5146071407022347e-06
14,766,17161,0 days 03:51:45.959810000,1.3865961818960056e-06
15,239,17401,0 days 03:55:08.617123000,1.3488075864390639e-06
16,289,17691,0 days 03:58:54.855576000,1.3045177718342018e-06
17,221,17913,0 days 04:02:01.004653000,1.271598479674134e-06
18,839,18753,0 days 04:13:04.529644000,1.154383205991503e-06
19,1329,20083,0 days 04:30:32.128170000,9.999999999990597e-07
20,375,20459,0 days 04:49:23.411143000,9.999999999990597e-07
21,26,20486,0 days 04:49:52.809937000,9.999999999990597e-07
22,799,21286,0 days 05:00:16.228265000,9.999999999990597e-07
23,363,21650,0 days 05:05:00.889214000,9.999999999990597e-07
24,132,21783,0 days 05:06:46.057469000,9.999999999990597e-07
25,149,21933,0 days 05:08:46.342904000,9.999999999990597e-07
26,2071,24005,0 days 05:36:11.715027000,9.999999999990597e-07
27,477,24483,0 days 05:42:28.534528000,9.999999999990597e-07
28,780,25264,0 days 05:53:15.570161000,9.999999999990597e-07
29,1303,26568,0 days 06:11:26.452297000,9.999999999990597e-07
30,243,26812,0 days 06:14:56.238136000,9.999999999990597e-07
31,581,27394,0 days 06:22:47.377073000,9.999999999990597e-07
