epoch,epoch_steps,tot_steps,tot_run_time,epsilon
0,9,10,0 days 00:00:37.977141000,1
1,15,26,0 days 00:01:00.689846000,1
2,15,42,0 days 00:01:23.664192000,1
3,3,46,0 days 00:01:34.886571000,1
4,10,57,0 days 00:01:52.563262000,1
5,17,75,0 days 00:02:20.203994000,1
6,15,91,0 days 00:02:42.031604000,1
7,15,107,0 days 00:03:05.424841000,1
8,15,123,0 days 00:03:27.729108000,1
9,15,139,0 days 00:03:50.294138000,1
10,10,150,0 days 00:04:06.475459000,1
11,9,160,0 days 00:04:22.683833000,1
12,9,170,0 days 00:04:39.576797000,1
13,15,186,0 days 00:05:01.396074000,1
14,15,202,0 days 00:05:22.987785000,1
15,15,218,0 days 00:05:44.539688000,1
16,15,234,0 days 00:06:06.319309000,1
17,15,250,0 days 00:06:28.157211000,1
18,15,266,0 days 00:06:49.343471000,1
19,17,284,0 days 00:07:15.044290000,1
20,15,300,0 days 00:07:41.115673000,1
21,14,315,0 days 00:08:03.666584000,1
22,14,330,0 days 00:08:25.646747000,1
23,15,346,0 days 00:08:48.247762000,1
24,15,362,0 days 00:09:10.975543000,1
25,15,378,0 days 00:09:32.976281000,1
26,9,388,0 days 00:09:49.686696000,1
27,15,404,0 days 00:10:12.891824000,1
28,15,420,0 days 00:10:34.175489000,1
29,10,431,0 days 00:10:50.936295000,1
30,15,447,0 days 00:11:13.087512000,1
31,15,463,0 days 00:11:35.037517000,1
32,15,479,0 days 00:11:56.423127000,1
33,15,495,0 days 00:12:17.800500000,1
34,15,511,0 days 00:12:40.525766000,1
35,15,527,0 days 00:13:02.763641000,1
36,14,542,0 days 00:13:25.106676000,1
37,15,558,0 days 00:13:46.556260000,1
38,14,573,0 days 00:14:09.386074000,1
39,14,588,0 days 00:14:31.249456000,1
40,14,603,0 days 00:14:58.432660000,1
41,15,619,0 days 00:15:20.188958000,1
42,14,634,0 days 00:15:41.300280000,1
43,15,650,0 days 00:16:02.279682000,1
44,14,665,0 days 00:16:23.803799000,1
45,15,681,0 days 00:16:46.089287000,1
46,15,697,0 days 00:17:07.699759000,1
47,14,712,0 days 00:17:28.947377000,1
48,14,727,0 days 00:17:50.274314000,1
49,15,743,0 days 00:18:11.746227000,1
50,15,759,0 days 00:18:33.198769000,1
51,14,774,0 days 00:18:54.974861000,1
52,23,798,0 days 00:19:29.017439000,1
53,9,808,0 days 00:19:45.128736000,1
54,18,827,0 days 00:20:11.307928000,1
55,14,842,0 days 00:20:32.298291000,1
56,9,852,0 days 00:20:49.002273000,1
57,10,863,0 days 00:21:05.283401000,1
58,8,872,0 days 00:21:22.778709000,1
59,12,885,0 days 00:21:45.627324000,1
60,4,890,0 days 00:22:01.194141000,1
61,21,912,0 days 00:22:34.806283000,1
62,14,927,0 days 00:22:55.906491000,1
63,15,943,0 days 00:23:18.099364000,1
64,14,958,0 days 00:23:39.383413000,1
65,9,968,0 days 00:23:56.126378000,1
66,14,983,0 days 00:24:18.542513000,1
67,9,993,0 days 00:24:37.102884000,1
68,3,997,0 days 00:24:47.986554000,1
69,8,1006,0 days 00:25:05.646223000,1
70,9,1016,0 days 00:25:21.918517000,1
71,10,1027,0 days 00:25:38.886073000,1
72,9,1037,0 days 00:25:55.343791000,1
73,17,1055,0 days 00:26:22.946739000,1
74,10,1066,0 days 00:26:39.471963000,1
75,10,1077,0 days 00:26:55.900038000,1
76,7,1085,0 days 00:27:08.299148000,1
77,14,1100,0 days 00:27:29.636558000,1
78,3,1104,0 days 00:27:41.491947000,1
79,25,1130,0 days 00:28:24.478226000,1
80,9,1140,0 days 00:28:43.572723000,1
81,14,1155,0 days 00:29:04.760201000,1
82,14,1170,0 days 00:29:25.088375000,1
83,14,1185,0 days 00:29:46.529276000,1
84,14,1200,0 days 00:30:07.315800000,1
85,14,1215,0 days 00:30:28.574278000,1
86,14,1230,0 days 00:30:50.464749000,1
87,20,1251,0 days 00:31:22.925149000,1
88,8,1260,0 days 00:31:39.970320000,1
89,4,1265,0 days 00:31:51.615740000,1
90,4,1270,0 days 00:32:04.615726000,1
91,8,1279,0 days 00:32:22.940553000,1
92,8,1288,0 days 00:32:41.573514000,1
93,8,1297,0 days 00:32:59.847832000,1
94,3,1301,0 days 00:33:11.566675000,1
95,3,1305,0 days 00:33:23.173025000,1
96,5,1311,0 days 00:33:36.705762000,1
97,3,1315,0 days 00:33:48.495010000,1
98,3,1319,0 days 00:34:00.359300000,1
99,9,1329,0 days 00:34:17.106175000,1
100,11,1341,0 days 00:34:39.359082000,1
101,10,1352,0 days 00:34:56.441504000,1
102,15,1368,0 days 00:35:19.961689000,1
103,9,1378,0 days 00:35:36.093372000,1
104,9,1388,0 days 00:35:52.656703000,1
105,9,1398,0 days 00:36:08.673940000,1
106,9,1408,0 days 00:36:25.689936000,1
107,14,1423,0 days 00:36:47.136798000,1
108,14,1438,0 days 00:37:08.683303000,1
109,14,1453,0 days 00:37:30.386573000,1
110,38,1492,0 days 00:38:26.655425000,1
111,5,1498,0 days 00:38:39.939763000,1
112,5,1504,0 days 00:38:51.178005000,1
113,3,1508,0 days 00:39:02.542356000,1
114,4,1513,0 days 00:39:15.119359000,1
115,4,1518,0 days 00:39:26.838394000,1
116,4,1523,0 days 00:39:38.089734000,1
117,4,1528,0 days 00:39:49.462592000,1
118,11,1540,0 days 00:40:07.391446000,1
119,3,1544,0 days 00:40:18.765681000,1
120,14,1559,0 days 00:40:44.094822000,1
121,10,1570,0 days 00:41:00.901777000,1
122,9,1580,0 days 00:41:16.739827000,1
123,9,1590,0 days 00:41:32.646576000,1
124,14,1605,0 days 00:41:54.125501000,1
125,9,1615,0 days 00:42:09.877039000,1
126,9,1625,0 days 00:42:26.539077000,1
127,14,1640,0 days 00:42:47.644453000,1
128,14,1655,0 days 00:43:09.012708000,1
129,14,1670,0 days 00:43:30.397723000,1
130,14,1685,0 days 00:43:51.321803000,1
131,15,1701,0 days 00:44:12.940068000,1
132,9,1711,0 days 00:44:30.266516000,1
133,27,1739,0 days 00:45:12.834898000,1
134,15,1755,0 days 00:45:34.462207000,1
135,10,1766,0 days 00:45:51.003775000,1
136,10,1777,0 days 00:46:07.738250000,1
137,9,1787,0 days 00:46:24.201973000,1
